,Quotation,Author,Tag
0,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert-Einstein,"change,deep-thoughts,thinking,world"
1,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J-K-Rowling,"abilities,choices"
2,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert-Einstein,"inspirational,life,live,miracle,miracles"
3,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane-Austen,"aliteracy,books,classic,humor"
4,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn-Monroe,"be-yourself,inspirational"
5,“Try not to become a man of success. Rather become a man of value.”,Albert-Einstein,"adulthood,success,value"
6,“It is better to be hated for what you are than to be loved for what you are not.”,Andre-Gide,"life,love"
7,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas-A-Edison,"edison,failure,inspirational,paraphrased"
8,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor-Roosevelt,misattributed-eleanor-roosevelt
9,"“A day without sunshine is like, you know, night.”",Steve-Martin,"humor,obvious,simile"
10,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert-Einstein,"change,deep-thoughts,thinking,world"
11,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J-K-Rowling,"abilities,choices"
12,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert-Einstein,"inspirational,life,live,miracle,miracles"
13,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane-Austen,"aliteracy,books,classic,humor"
14,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn-Monroe,"be-yourself,inspirational"
15,“Try not to become a man of success. Rather become a man of value.”,Albert-Einstein,"adulthood,success,value"
16,“It is better to be hated for what you are than to be loved for what you are not.”,Andre-Gide,"life,love"
17,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas-A-Edison,"edison,failure,inspirational,paraphrased"
18,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor-Roosevelt,misattributed-eleanor-roosevelt
19,"“A day without sunshine is like, you know, night.”",Steve-Martin,"humor,obvious,simile"
20,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert-Einstein,"change,deep-thoughts,thinking,world"
21,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J-K-Rowling,"abilities,choices"
22,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert-Einstein,"inspirational,life,live,miracle,miracles"
23,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane-Austen,"aliteracy,books,classic,humor"
24,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn-Monroe,"be-yourself,inspirational"
25,“Try not to become a man of success. Rather become a man of value.”,Albert-Einstein,"adulthood,success,value"
26,“It is better to be hated for what you are than to be loved for what you are not.”,Andre-Gide,"life,love"
27,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas-A-Edison,"edison,failure,inspirational,paraphrased"
28,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor-Roosevelt,misattributed-eleanor-roosevelt
29,"“A day without sunshine is like, you know, night.”",Steve-Martin,"humor,obvious,simile"
30,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert-Einstein,"change,deep-thoughts,thinking,world"
31,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J-K-Rowling,"abilities,choices"
32,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert-Einstein,"inspirational,life,live,miracle,miracles"
